marker_id,scan_distance,movement_id,px,py,pz,qx,qy,qz,qw,cam_px,cam_py,cam_pz,cam_qx,cam_qy,cam_qz,cam_qw
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
0,0.2625,1,-0.200185,-0.287246,0.104364,0.517031,0.469216,0.528023,0.483432,-0.007117,-0.028492,0.231975,0.998866,-0.04575,-0.002405,0.012965
0,0.2625,1,-0.198971,-0.287131,0.104237,0.503173,0.465637,0.543425,0.484446,-0.007005,-0.028366,0.230762,0.998361,-0.047786,0.009936,0.029888
0,0.2625,1,-0.198211,-0.28706,0.10415,0.504228,0.459128,0.540506,0.492757,-0.006935,-0.028279,0.230001,0.998319,-0.045952,0.000541,0.035313
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
0,0.2625,1,-0.200185,-0.287246,0.104364,0.517031,0.469216,0.528023,0.483432,-0.007117,-0.028492,0.231975,0.998866,-0.04575,-0.002405,0.012965
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
0,0.2625,1,-0.200185,-0.287246,0.104364,0.517031,0.469216,0.528023,0.483432,-0.007117,-0.028492,0.231975,0.998866,-0.04575,-0.002405,0.012965
0,0.2625,1,-0.198211,-0.28706,0.10415,0.504228,0.459128,0.540506,0.492757,-0.006935,-0.028279,0.230001,0.998319,-0.045952,0.000541,0.035313
0,0.2625,1,-0.199529,-0.287258,0.10433,0.533153,0.460642,0.511011,0.492366,-0.007131,-0.028458,0.23132,0.998582,-0.04514,-0.02773,0.005163
0,0.2625,1,-0.199347,-0.28717,0.10427,0.516574,0.46227,0.526656,0.492029,-0.007043,-0.028398,0.231137,0.998769,-0.044009,-0.01063,0.020283
