d1,d_cross2,d2,d_cross1
0.008, 0.20 , 0.016, 0.194
0.004, 0.202, 0.018, 0.193
0.013, 0.204, 0.027, 0.19
0.012, 0.208, 0.022, 0.189
0.013, 0.202 , 0.032, 0.193
0.015, 0.21 , 0.028, 0179
0.014, 0.203, 0.028, 0.191
0.019, 0.217, 0.042, 0.178
0.014, 0.208 , 0.033, 0.186
0.023, 0.218 , 0.043, 0.178
0.018, 0.204 , 0.031, 0.190
0.035, 0.23 , 0.06, 0.166
