d1[mm],d_cross2[mm],d2[mm],d_cross1[mm], printerError[mm]
11, 206, 22, 189, 5
9, 201, 18, 191, 6
10, 206, 23, 189, 7
11, 204, 21, 190, 6
10, 206, 22, 191, 6
11, 203, 22, 191, 6
9, 205, 18, 190, 5
11, 202, 21, 194, 4
10, 205, 19, 190, 5
12, 203, 22, 191, 6
11, 206, 19, 190, 7
10, 205, 19, 191, 4
