distanceFromTop[mm], distanceFromSide[mm], gapOnPrinter[mm]
6, 59, 5
4, 58, 0
2, 60, 0
7, 61, 3
0, 64, 6
0, 60, 7
0, 64, 6
0, 65, 4
4, 66, 7
3, 67, 10
0, 67, 6
0, 66, 6
4, 65, 6
5, 63, 6
6, 64, 9
