marker_id,scan_distance,movement_id,px,py,pz,qx,qy,qz,qw,cam_px,cam_py,cam_pz,cam_qx,cam_qy,cam_qz,cam_qw
0,0.2625,1,-0.22952,-0.283448,0.09826,-0.439637,-0.606829,-0.499915,-0.434239,-0.02142,-0.019945,0.262793,-0.990391,-0.055715,-0.112627,0.057762
0,0.2625,1,-0.228419,-0.28367,0.098286,0.508537,0.518663,0.437742,0.529869,-0.02165,-0.019971,0.261694,-0.996942,-0.056344,0.04469,0.030573
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.229748,-0.283575,0.098274,-0.459534,-0.593742,-0.483181,-0.450372,-0.021546,-0.019961,0.263022,-0.993375,-0.055686,-0.079671,0.061295
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.227757,-0.283479,0.098268,0.498372,0.504235,0.446194,0.546153,-0.021464,-0.01995,0.261031,-0.997003,-0.058222,0.050605,0.005883
0,0.2625,1,-0.22952,-0.283448,0.09826,-0.439637,-0.606829,-0.499915,-0.434239,-0.02142,-0.019945,0.262793,-0.990391,-0.055715,-0.112627,0.057762
0,0.2625,1,-0.228419,-0.28367,0.098286,0.508537,0.518663,0.437742,0.529869,-0.02165,-0.019971,0.261694,-0.996942,-0.056344,0.04469,0.030573
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228419,-0.28367,0.098286,0.508537,0.518663,0.437742,0.529869,-0.02165,-0.019971,0.261694,-0.996942,-0.056344,0.04469,0.030573
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228419,-0.28367,0.098286,0.508537,0.518663,0.437742,0.529869,-0.02165,-0.019971,0.261694,-0.996942,-0.056344,0.04469,0.030573
0,0.2625,1,-0.22905,-0.283769,0.098418,0.488528,0.52262,0.457557,0.528062,-0.021743,-0.020106,0.262325,-0.99801,-0.057564,0.021809,0.013669
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.22905,-0.283769,0.098418,0.488528,0.52262,0.457557,0.528062,-0.021743,-0.020106,0.262325,-0.99801,-0.057564,0.021809,0.013669
0,0.2625,1,-0.22905,-0.283769,0.098418,0.488528,0.52262,0.457557,0.528062,-0.021743,-0.020106,0.262325,-0.99801,-0.057564,0.021809,0.013669
0,0.2625,1,-0.229239,-0.283738,0.098298,0.499854,0.511361,0.449121,0.535674,-0.021712,-0.019986,0.262514,-0.997579,-0.054307,0.041128,0.014
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.22905,-0.283769,0.098418,0.488528,0.52262,0.457557,0.528062,-0.021743,-0.020106,0.262325,-0.99801,-0.057564,0.021809,0.013669
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228257,-0.283602,0.098294,0.506916,0.504186,0.437715,0.545196,-0.021583,-0.019978,0.261531,-0.996499,-0.057658,0.058708,0.014803
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.228852,-0.2837,0.098423,0.488429,0.507952,0.455866,0.543699,-0.021676,-0.020109,0.262127,0.997546,0.059005,-0.037678,0.000767
0,0.2625,1,-0.22905,-0.283769,0.098418,0.488528,0.52262,0.457557,0.528062,-0.021743,-0.020106,0.262325,-0.99801,-0.057564,0.021809,0.013669
