pose_i,tilt_deg,az_deg,dist_m,n_frames,Pmeas_x,Pmeas_y,Pmeas_z,Pcam_x,Pcam_y,Pcam_z,eef_x,eef_y,eef_z,q_be_x,q_be_y,q_be_z,q_be_w
1,12.0,0.0,0.25,15,-0.12628,-0.329706,-0.004942,-0.004166,5.2e-05,0.24929,-0.206612,-0.272591,0.242637,-0.701447,0.703446,-0.086886,-0.07474
2,12.0,90.0,0.25,21,-0.126088,-0.33169,-3.8e-05,-0.001198,-0.001411,0.245855,-0.258263,-0.324996,0.227948,0.702784,-0.702276,0.086992,-0.07305
3,12.0,180.0,0.25,1,-0.124383,-0.334766,-0.00513,0.000964,-0.001918,0.249522,-0.206991,-0.378527,0.245286,-0.703427,0.704401,0.060469,0.073168
4,12.0,270.0,0.25,1,-0.125205,-0.334522,-0.009379,0.000999,-0.002099,0.253978,-0.15243,-0.324626,0.260685,-0.702419,0.705232,0.060354,-0.074921
5,18.0,0.0,0.25,18,-0.125756,-0.328197,-0.006075,-0.005502,-0.000924,0.249239,-0.206778,-0.246483,0.234538,-0.695844,0.698599,-0.123509,-0.111827
6,18.0,90.0,0.25,17,-0.12664,-0.331395,0.002983,-0.001876,-0.001401,0.241926,-0.280366,-0.32523,0.212401,0.697736,-0.697165,0.123738,-0.108696
7,18.0,180.0,0.25,15,-0.12355,-0.335704,-0.005552,0.00223,-0.002353,0.250861,-0.206286,-0.404851,0.24059,-0.699394,0.699477,0.09775,0.109655
8,18.0,270.0,0.25,2,-0.124609,-0.335638,-0.01153,0.002066,-0.003193,0.255301,-0.124069,-0.324789,0.261469,-0.697304,0.70133,0.097387,-0.111437
10,12.0,0.0,0.15,18,-0.129211,-0.326467,0.001811,-0.005458,0.003845,0.142493,-0.203943,-0.294866,0.14577,-0.701129,0.703808,-0.086673,-0.07457
11,12.0,90.0,0.15,20,-0.132514,-0.330333,0.006609,-0.003662,0.003773,0.136536,-0.234893,-0.327998,0.129448,-0.702358,0.702804,-0.086795,0.07229
12,12.0,180.0,0.15,16,-0.129409,-0.335147,0.001917,0.000239,0.00319,0.143816,-0.20482,-0.359717,0.148588,0.704019,-0.703885,-0.060509,-0.072404
14,18.0,0.0,0.15,17,-0.12739,-0.323991,0.001561,-0.007276,0.001883,0.141429,-0.203996,-0.279306,0.140941,-0.695512,0.698956,-0.123585,-0.111579
15,18.0,90.0,0.15,16,-0.133873,-0.330089,0.008487,-0.003774,0.002774,0.135229,-0.249132,-0.328079,0.118318,0.697546,-0.697284,0.123718,-0.109173
16,18.0,180.0,0.15,13,-0.129039,-0.336798,0.001563,0.001946,0.003148,0.142581,-0.204443,-0.374681,0.14416,0.699605,-0.699391,-0.097382,-0.109182
17,18.0,270.0,0.15,3,-0.126142,-0.335269,-0.004313,0.001909,-0.000346,0.149472,-0.153754,-0.326684,0.166676,-0.697414,0.7012,0.097648,-0.111342

# per_pose_fit_resid_m,0.002045,0.001484,0.000913,0.00198,0.002534,0.002556,0.001903,0.002461,0.001465,0.000334,0.000908,0.002148,0.001113,0.001002,0.003223
# delta_eef_m,0.000376,0.013872,0.025952
# eps_cam_deg,-1.9495,-0.284,-11.4804
# depth_scale_err,-0.072239
# P_true_base_m,-0.147441,-0.331744,-0.013178
# current_net_t_ec_m,0.0032,-0.0761,0.0061
# new_total_correction_m,0.000376,0.013872,0.025952
# condition_number,458.095
# spread_rms_before_m,0.007259,spread_rms_after_m,0.001899
