pose_i,tilt_deg,az_deg,dist_m,n_frames,Pmeas_x,Pmeas_y,Pmeas_z,Pcam_x,Pcam_y,Pcam_z,eef_x,eef_y,eef_z,q_be_x,q_be_y,q_be_z,q_be_w
0,0.0,0.0,0.25,18,-0.174276,-0.331551,-0.021538,0.001572,-0.028029,0.249977,-0.022086,-0.321965,0.232392,0.698511,0.705881,-0.098865,-0.063556
1,12.0,0.0,0.25,15,-0.173542,-0.3268,-0.022958,0.006683,-0.025953,0.25315,-0.023238,-0.381185,0.229424,0.70485,0.695536,-0.026124,-0.136871
2,12.0,90.0,0.25,17,-0.175014,-0.332103,-0.01876,0.000457,-0.028871,0.253485,0.028885,-0.321908,0.200767,0.687708,0.692021,-0.172329,-0.135891
3,12.0,180.0,0.25,16,-0.175377,-0.336468,-0.022702,-0.002622,-0.028359,0.253867,-0.024366,-0.263126,0.225891,0.68422,0.708684,-0.171729,0.010922
4,12.0,270.0,0.25,16,-0.170415,-0.329853,-0.027603,0.004127,-0.021887,0.25181,-0.08,-0.321982,0.254349,0.701179,0.712457,-0.025623,0.00982
5,18.0,0.0,0.25,14,-0.17229,-0.324392,-0.023029,0.007943,-0.025335,0.254119,-0.024087,-0.409637,0.222905,0.705244,0.687307,0.011471,-0.173517
6,18.0,90.0,0.25,14,-0.175602,-0.332172,-0.018203,0.000631,-0.027888,0.257026,0.051241,-0.322913,0.182259,0.679807,0.68182,-0.208276,-0.172061
7,18.0,180.0,0.25,14,-0.174663,-0.338674,-0.021882,-0.004936,-0.028331,0.253748,-0.025954,-0.234769,0.216863,0.674063,0.707357,-0.207421,0.047566
8,18.0,270.0,0.25,10,-0.159734,-0.327423,-0.031155,0.005632,-0.011647,0.252616,-0.109923,-0.322037,0.258835,0.699663,0.712864,0.013069,0.046109
9,0.0,0.0,0.15,15,-0.166132,-0.331045,-0.018828,0.002541,-0.020111,0.145901,-0.045189,-0.327452,0.135629,0.697922,0.706368,-0.099523,-0.063595
10,12.0,0.0,0.15,11,-0.166634,-0.327052,-0.018555,0.006816,-0.020291,0.147832,-0.045974,-0.365219,0.134005,0.704661,0.695782,-0.025322,-0.136745
11,12.0,90.0,0.15,14,-0.166654,-0.331182,-0.017389,0.000847,-0.021238,0.150057,-0.013497,-0.326724,0.111786,0.68765,0.691935,-0.172539,-0.13636
12,12.0,180.0,0.15,12,-0.162558,-0.3347,-0.020616,-0.002206,-0.01567,0.147224,-0.047366,-0.289403,0.13072,0.684299,0.708674,-0.171449,0.011005

# per_pose_fit_resid_m,0.00261,0.000652,0.00136,0.003092,0.002141,0.001265,0.002818,0.002853,0.006326,0.001497,0.001473,0.001189,0.001793
# delta_eef_m,-0.002278,-0.00177,-0.008538
# eps_cam_deg,-3.5096,-0.4309,6.3009
# depth_scale_err,-0.061708
# P_true_base_m,-0.152514,-0.331416,-0.005415
# current_net_t_ec_m,0.0036,-0.0622,0.0321
# new_total_correction_m,-0.002278,-0.00177,-0.008538
# condition_number,244.333
# spread_rms_before_m,0.007467,spread_rms_after_m,0.002631
