pose_i,tilt_deg,az_deg,dist_m,n_frames,Pmeas_x,Pmeas_y,Pmeas_z,Pcam_x,Pcam_y,Pcam_z,eef_x,eef_y,eef_z,q_be_x,q_be_y,q_be_z,q_be_w
1,12.0,0.0,0.25,25,0.067804,-0.531966,0.217423,0.006183,0.003382,0.256866,0.020796,-0.272247,0.28325,0.692317,0.046222,0.055885,0.71794
2,12.0,90.0,0.25,24,0.051092,-0.529704,0.213048,-0.010671,0.000146,0.254603,0.072545,-0.289497,0.336169,0.765923,-0.03043,-0.013195,0.642077
3,12.0,180.0,0.25,28,0.053486,-0.525302,0.213008,-0.007858,-0.00042,0.251008,0.126494,-0.278335,0.285093,0.689041,-0.103636,-0.088942,0.711738
4,12.0,270.0,0.25,27,0.064651,-0.531525,0.217186,0.003205,0.002501,0.25585,0.076451,-0.26081,0.228789,0.615738,-0.026334,-0.020028,0.787256
5,18.0,0.0,0.25,24,0.071713,-0.53151,0.217174,0.007528,0.002914,0.257912,-0.00364,-0.277336,0.283097,0.688359,0.084198,0.092063,0.71456
6,18.0,90.0,0.25,26,0.043989,-0.526501,0.209441,-0.01766,-0.003804,0.251606,0.071156,-0.304611,0.359769,0.797971,-0.031034,-0.012434,0.601768
7,18.0,180.0,0.25,24,0.052356,-0.519465,0.21211,-0.011774,-0.001347,0.24603,0.152241,-0.287471,0.285671,0.68284,-0.140472,-0.124683,0.70601
8,18.0,270.0,0.25,26,0.066188,-0.53061,0.22404,0.004354,0.008552,0.257956,0.077328,-0.260209,0.200603,0.573128,-0.026061,-0.020437,0.818796
9,0.0,0.0,0.15,25,0.066171,-0.521858,0.214954,0.00426,0.001977,0.144512,0.068088,-0.370283,0.286658,0.694185,-0.028169,-0.016678,0.719052
10,12.0,0.0,0.15,27,0.070263,-0.523009,0.215813,0.009535,0.002607,0.147317,0.035699,-0.372141,0.286554,0.692752,0.046414,0.055367,0.717548
11,12.0,90.0,0.15,26,0.061613,-0.520678,0.215964,0.000154,0.001286,0.144479,0.066072,-0.38768,0.318292,0.765374,-0.030488,-0.014157,0.642707
12,12.0,180.0,0.15,27,0.062722,-0.518721,0.21322,-0.000946,-0.000282,0.141957,0.099704,-0.374908,0.288224,0.68916,-0.103561,-0.088875,0.711642
13,12.0,270.0,0.15,27,0.068195,-0.523286,0.214184,0.00587,0.000791,0.147478,0.069992,-0.356912,0.253357,0.615533,-0.026295,-0.019694,0.787426
14,18.0,0.0,0.15,25,0.07209,-0.522757,0.215799,0.01028,0.002061,0.149771,0.020784,-0.373968,0.286803,0.688594,0.084058,0.091847,0.714379
15,18.0,90.0,0.15,27,0.057212,-0.518674,0.2154,-0.005128,0.000793,0.14215,0.065733,-0.39986,0.331094,0.798181,-0.030986,-0.012344,0.601494
16,18.0,180.0,0.15,21,0.061836,-0.516694,0.212166,-0.003516,-0.001855,0.140914,0.115346,-0.379369,0.288967,0.683028,-0.140383,-0.124783,0.705829
17,18.0,270.0,0.15,24,0.0687,-0.523446,0.213737,0.006225,0.001201,0.147089,0.070625,-0.354385,0.235133,0.573596,-0.02542,-0.02098,0.818475

# per_pose_fit_resid_m,0.004955,0.006683,0.003006,0.005875,0.006345,0.012633,0.005592,0.006216,0.001697,0.003002,0.005113,0.001919,0.004239,0.00333,0.008035,0.003104,0.005713
# delta_eef_m,0.001007,0.002901,0.001771
# eps_cam_deg,-0.22,2.8871,11.3488
# depth_scale_err,-0.095822
# P_true_base_m,0.07373,-0.508531,0.218022
# current_net_t_ec_m,0.0022,-0.079,0.0043
# new_total_correction_m,0.001007,0.002901,0.001771
# condition_number,190.023
# spread_rms_before_m,0.009762,spread_rms_after_m,0.00574
