pose_i,tilt_deg,az_deg,dist_m,n_frames,Pmeas_x,Pmeas_y,Pmeas_z,Pcam_x,Pcam_y,Pcam_z,eef_x,eef_y,eef_z,q_be_x,q_be_y,q_be_z,q_be_w
0,0.0,0.0,0.25,22,0.059949,-0.556964,0.233967,-0.033839,-0.01071,0.2629,0.067447,-0.261351,0.300994,0.701788,0.027962,0.033861,0.711031
1,12.0,0.0,0.25,21,0.076837,-0.556534,0.235368,-0.019488,-0.009571,0.260206,0.010271,-0.272304,0.300318,0.694035,0.101042,0.107089,0.704726
2,12.0,90.0,0.25,18,0.05218,-0.562448,0.227292,-0.041088,-0.013987,0.270414,0.067699,-0.279516,0.358072,0.771673,0.031137,0.030585,0.63452
3,12.0,180.0,0.25,21,0.044541,-0.549637,0.231385,-0.045664,-0.01377,0.263584,0.12476,-0.262729,0.301857,0.700958,-0.046363,-0.039427,0.710601
4,12.0,270.0,0.25,21,0.061903,-0.551697,0.240211,-0.031473,-0.007211,0.256554,0.067303,-0.255743,0.242375,0.62325,0.023764,0.037545,0.780759
5,18.0,0.0,0.25,24,0.083394,-0.554973,0.234809,-0.013302,-0.010521,0.259575,-0.017882,-0.282171,0.300547,0.68742,0.138438,0.142927,0.69847
6,18.0,90.0,0.25,19,0.041282,-0.560101,0.220633,-0.052027,-0.018899,0.272276,0.06864,-0.291298,0.385829,0.804228,0.032336,0.029215,0.592721
7,18.0,180.0,0.25,24,0.039045,-0.544915,0.230312,-0.050936,-0.015099,0.265354,0.154304,-0.267526,0.302666,0.69783,-0.084396,-0.075731,0.707231
8,18.0,270.0,0.25,21,0.062607,-0.548356,0.243485,-0.030285,-0.002805,0.253921,0.068119,-0.257759,0.211898,0.581937,0.02126,0.03806,0.812064
9,0.0,0.0,0.2,23,0.062178,-0.552297,0.234153,-0.03149,-0.010575,0.20833,0.072007,-0.311167,0.301479,0.701323,0.027424,0.034443,0.711482
10,12.0,0.0,0.2,23,0.075936,-0.553045,0.23485,-0.019141,-0.011024,0.206667,0.024509,-0.320134,0.30214,0.694025,0.101151,0.107286,0.70469
11,12.0,90.0,0.2,25,0.057112,-0.556779,0.228717,-0.036283,-0.013256,0.215046,0.072543,-0.328312,0.348283,0.771736,0.030572,0.031093,0.634447
12,12.0,180.0,0.2,25,0.048792,-0.547096,0.231798,-0.042142,-0.014101,0.210902,0.119024,-0.312026,0.303281,0.70086,-0.046972,-0.038804,0.710692
13,12.0,270.0,0.2,25,0.063743,-0.548179,0.239079,-0.029236,-0.007492,0.203569,0.071595,-0.303831,0.253103,0.623027,0.023651,0.036933,0.78097
14,18.0,0.0,0.2,22,0.081661,-0.551201,0.234072,-0.013977,-0.012025,0.204977,0.002313,-0.328343,0.302128,0.687259,0.138199,0.142933,0.698675
15,18.0,90.0,0.2,22,0.050152,-0.556073,0.225596,-0.042804,-0.014728,0.217065,0.072693,-0.339223,0.370228,0.803986,0.03213,0.029885,0.593027
16,18.0,180.0,0.2,24,0.043769,-0.543038,0.230572,-0.046588,-0.014512,0.211856,0.142658,-0.316734,0.302814,0.697824,-0.084112,-0.075557,0.707289
17,18.0,270.0,0.2,22,0.064104,-0.545172,0.241037,-0.02749,-0.004519,0.199869,0.070969,-0.305274,0.228303,0.581701,0.02115,0.03827,0.812227
18,0.0,0.0,0.15,21,0.064123,-0.547931,0.234172,-0.02822,-0.01042,0.154115,0.075454,-0.361078,0.302084,0.701217,0.027052,0.034517,0.711597
19,12.0,0.0,0.15,23,0.075858,-0.548608,0.234443,-0.017783,-0.010623,0.153287,0.03852,-0.367284,0.302435,0.694479,0.101647,0.107466,0.704143
20,12.0,90.0,0.15,26,0.060126,-0.551109,0.23012,-0.032374,-0.012886,0.160035,0.076706,-0.376647,0.33856,0.771711,0.030905,0.030243,0.634502
21,12.0,180.0,0.15,21,0.052776,-0.543353,0.232271,-0.038722,-0.012991,0.156817,0.113302,-0.361748,0.303575,0.701497,-0.047078,-0.039415,0.710023
22,12.0,270.0,0.15,18,0.065286,-0.544028,0.237893,-0.027339,-0.006785,0.14893,0.076045,-0.353128,0.263683,0.623638,0.023722,0.036126,0.780518
23,18.0,0.0,0.15,24,0.080449,-0.546911,0.23355,-0.013123,-0.011156,0.151155,0.021245,-0.37401,0.301742,0.687454,0.138295,0.143046,0.698441
24,18.0,90.0,0.15,21,0.054652,-0.551218,0.227199,-0.038419,-0.014603,0.161483,0.077685,-0.387705,0.35539,0.804223,0.032791,0.029468,0.59269
25,18.0,180.0,0.15,24,0.048746,-0.539512,0.231319,-0.041903,-0.012953,0.158222,0.13122,-0.364595,0.302774,0.698258,-0.084177,-0.07597,0.706809
26,18.0,270.0,0.15,24,0.065777,-0.541353,0.239315,-0.026487,-0.005028,0.145329,0.075644,-0.35281,0.244364,0.581263,0.021966,0.038552,0.812505

# per_pose_fit_resid_m,0.005484,0.007271,0.012458,0.007519,0.005377,0.00809,0.020372,0.008589,0.005771,0.002009,0.005845,0.006543,0.002954,0.005095,0.007042,0.012599,0.00444,0.006937,0.005185,0.007738,0.00673,0.004153,0.00756,0.009014,0.010735,0.005299,0.009696
# delta_eef_m,0.020496,-0.016066,-0.044266
# P_true_base_m,0.077164,-0.505845,0.21699
# current_net_t_ec_m,0.0,-0.06,0.03
# new_total_correction_m,0.020496,-0.016066,-0.044266
# condition_number,11.253
# spread_rms_before_m,0.014485,spread_rms_after_m,0.008228
