distanceFromTop[mm], distanceFromSide[mm], gapOnPrinter[mm]
15, 58, 4
16, 60, 10
4, 61, 9
5, 61, 3
2, 60, 12
0, 62, 4
0, 63, 7
6, 62, 10
0, 61, 8
0, 68, 9
0, 61, 3
0, 63, 12
2, 61, 6
0, 61, 16
1, 57, 6
