timestamp,call_chain,duration_s
2026-04-23T16:03:26.388668,transferPlate > pickupPlate,11.3462
2026-04-23T16:03:34.872656,transferPlate > placePlate,8.4805
2026-04-23T16:03:43.828936,transferPlate > scanToMarker,5.8414
2026-04-23T16:03:48.258471,transferPlate > pickupPlate > moveToMarker,4.4016
2026-04-23T16:03:54.454282,transferPlate > pickupPlate,10.5974
2026-04-23T16:04:02.507115,transferPlate > placePlate,8.0503
2026-04-23T16:04:06.708161,transferPlate,54.8302
2026-04-23T16:04:12.907451,transferPlate > scanToMarker,2.9833
2026-04-23T16:04:18.493690,transferPlate > pickupPlate > moveToMarker,5.5839
2026-04-23T16:04:24.653857,transferPlate > pickupPlate,11.7441
2026-04-23T16:04:32.659909,transferPlate > placePlate,7.9818
2026-04-23T16:04:40.855337,transferPlate > scanToMarker,5.648
2026-04-23T16:04:45.765331,transferPlate > pickupPlate > moveToMarker,4.907
2026-04-23T16:04:52.752073,transferPlate > pickupPlate,11.8937
2026-04-23T16:05:01.270718,transferPlate > placePlate,8.511
2026-04-23T16:05:05.482419,transferPlate,55.7082
