timestamp,call_chain,duration_s
2026-07-24T12:43:55.994826,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries > scanToMarker,7.5231
2026-07-24T12:43:55.994879,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries,7.5231
2026-07-24T12:43:57.707256,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries > scanToMarker,1.7123
2026-07-24T12:43:57.707325,scrapePlate > pickupPlate > moveToMarker > _scan_with_retries,1.7124
2026-07-24T12:44:08.314196,scrapePlate > pickupPlate > moveToMarker,19.8633
2026-07-24T12:44:08.314332,scrapePlate > pickupPlate,19.8634
2026-07-24T12:44:18.359320,scrapePlate,29.9093
