timestamp,call_chain,duration_s
2026-07-17T12:33:17.392363,scanMarkerApproach > scanToMarker,7.9184
2026-07-17T12:33:24.531787,scanMarkerApproach > scanToMarker,5.1271
2026-07-17T12:33:30.626219,scanMarkerApproach > scanToMarker,5.094
2026-07-17T12:33:36.700707,scanMarkerApproach > scanToMarker,5.074
2026-07-17T12:33:42.334187,scanMarkerApproach > scanToMarker,4.6308
2026-07-17T12:33:43.334351,scanMarkerApproach,33.8603
2026-07-17T12:33:51.781905,scanMarkerApproach > scanToMarker,8.4472
2026-07-17T12:33:59.593897,scanMarkerApproach > scanToMarker,5.8112
2026-07-17T12:34:05.969441,scanMarkerApproach > scanToMarker,5.375
2026-07-17T12:34:12.450669,scanMarkerApproach > scanToMarker,5.4526
2026-07-17T12:34:18.176931,scanMarkerApproach > scanToMarker,4.7254
2026-07-17T12:34:19.177571,scanMarkerApproach,35.8429
2026-07-17T12:34:24.179175,startup,76.3954
